"ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";
"35";"http://makersupplies.dk/img/p/1/8/6/186.jpg";"Nut Block for 8mm Metric Acme Lead Screw";"35";"ACME Lead Screw & Nuts";"47.200000";"59";"214";"1";
"380";"http://makersupplies.dk/img/p/3/0/3/0/3030.jpg";"C-Beam® Double Wide Gantry Actuator Bundle";"380";"Linear Actuators";"1000.800000";"1251";"7";"1";
"706";"http://makersupplies.dk/img/p/4/7/4/6/4746.jpg";"Emerald Green - PETG 1.75 - Devil Design";"706";"PETG - 1.75mm";"124.000000";"155";"7";"1";
"1180";"http://makersupplies.dk/img/p/7/4/2/3/7423.jpg";"FORMBOT VORON V0.1 - 120X120X120MM";"";"Formbot";"3438.400000";"4298";"0";"1";
"642";"http://makersupplies.dk/img/p/4/5/4/7/4547.jpg";"uStepper Robot Arm Rev. 4 - Full Kit";"642";"Robot Arm";"3410.000000";"4262.5";"-1";"1";
"989";"http://makersupplies.dk/img/p/6/3/6/3/6363.jpg";"OpenBuilds LEAD CNC Laser Upgrade with PLH3D-6W-XF";"989";"Laser Modules";"6150.000000";"7687.5";"1";"1";
"130";"http://makersupplies.dk/img/p/5/9/2/592.jpg";"E-Stop for Panel Mounting";"130";"Switches";"68.000000";"85";"36";"1";
"458";"http://makersupplies.dk/img/p/3/8/5/8/3858.jpg";"Countersink Disk Ø10x3mm - Neodynium Magnet (2 pack)";"458";"Countersink";"9.600000";"12";"25";"1";
"927";"http://makersupplies.dk/img/p/8/1/8/5/8185.jpg";"NEMA 34 - 9.8Nm - Integrated Closed Loop Stepper Motor – 14mm shaft";"927";"Closed Loop Stepper";"1598.400000";"1998";"8";"1";
"1256";"http://makersupplies.dk/img/p/7/4/8/5/7485.jpg";"PRIMACREATOR VALUE WATER WASHABLE UV RESIN - 1000 ML - CLEAR";"";"Water Washable Resin";"400.000000";"500";"2";"1";
"43";"http://makersupplies.dk/img/p/2/2/0/220.jpg";"Motor Mount Plate for Nema 17 Stepper Motor";"43";"Plates";"48.600000";"60.75";"170";"1";
"388";"http://makersupplies.dk/img/p/3/3/2/3/3323.jpg";"OpenBuilds ACRO 1000x1000";"388";"ACRO Laser Cutter";"1726.600000";"2158.25";"3";"1";
"715";"http://makersupplies.dk/img/p/4/7/6/2/4762.jpg";"Aluminum Tube";"715";"Tube";"16.000000";"20";"35";"1";
"1189";"http://makersupplies.dk/img/p/7/3/7/1/7371.jpg";"SK20-ER16 Toolholder for AMB FME-W ATC Spindle";"";"Spindles";"589.990000";"737.49";"1";"1";
"652";"http://makersupplies.dk/img/p/4/5/7/1/4571.jpg";"Original E3D Prusa Heater Cartridge";"652";"E3D Spare Parts";"95.200000";"119";"7";"1";
"997";"http://makersupplies.dk/img/p/6/3/8/2/6382.jpg";"Affordable Slot Cover - 1m";"997";"V-Slot Profiles";"15.800000";"19.75";"489";"1";
"139";"http://makersupplies.dk/img/p/6/4/1/641.jpg";"2 Conductor Shielded Cable - by the meter";"139";"Cables";"20.200000";"25.25";"182";"1";
"466";"http://makersupplies.dk/img/p/3/8/7/3/3873.jpg";"Rod Ø8x10mm - Neodynium Magnet (2 pack)";"466";"Rod";"20.000000";"25";"90";"1";
"935";"http://makersupplies.dk/img/p/6/0/6/6/6066.jpg";"Light Green - PLA 1.75 - Devil Design";"935";"PLA - 1.75mm";"124.000000";"155";"8";"1";
"1406";"http://makersupplies.dk/img/p/8/1/0/8/8108.jpg";"Disk Ø8x4mm - Neodynium Magnet (2 pack)";"461";"Disk";"15.000000";"18.75";"24";"1";
"53";"http://makersupplies.dk/img/p/8/0/6/3/8063.jpg";"Low Profile Screws M5 6mm-30mm (25 Pack)";"53";"Screws and bolts";"18.000000";"22.5";"1635";"1";
"397";"http://makersupplies.dk/img/p/3/6/1/0/3610.jpg";"OpenBuilds C-Beam Machine XLarge - Silver";"397";"C-Beam Machines";"6530.400000";"8163";"1";"1";
"723";"http://makersupplies.dk/img/p/4/7/8/9/4789.jpg";"Mean Well - Power Supply - 36V 12.5A";"723";"Power Supplies";"919.200000";"1149";"10";"1";
"660";"http://makersupplies.dk/img/p/4/5/9/3/4593.jpg";"Original E3D Volcano Upgrade Kit - 1.75mm";"660";"E3D Hotends";"311.200000";"389";"6";"1";
"1135";"http://makersupplies.dk/img/p/6/9/1/1/6911.jpg";"T10 Spring Loaded T-nut";"";"T10-Slot Accessories";"5.560000";"6.95";"1325";"1";
"156";"http://makersupplies.dk/img/p/7/2/6/726.jpg";"IEC Male Plug";"156";"Connectors";"21.200000";"26.5";"20";"1";
"475";"http://makersupplies.dk/img/p/3/9/0/6/3906.jpg";"Flexible Coupler -D20x5mmx5mm";"475";"Couplers";"26.200000";"32.75";"99";"1";
"943";"http://makersupplies.dk/img/p/6/0/7/9/6079.jpg";"LMF8UU - Short Linear Bearing w Round Flange";"943";"Shaft Guides & LMUU";"20.760000";"25.95";"10";"1";
"1415";"http://makersupplies.dk/img/p/8/2/2/9/8229.jpg";"PRIMACREATOR VALUE WATER WASHABLE UV RESIN - 1000 ML - BLACK";"";"Water Washable Resin";"400.000000";"500";"2";"1";
"67";"http://makersupplies.dk/img/p/3/1/7/317.jpg";"Solid V Wheel Kit";"67";"V-Wheels";"38.200000";"47.75";"329";"1";
"407";"http://makersupplies.dk/img/p/3/6/6/7/3667.jpg";"PoLabs LCD 4x20";"407";"Shields & Break out Boards";"108.000000";"135";"1";"1";
"731";"http://makersupplies.dk/img/p/4/8/3/6/4836.jpg";"Universal 6W CNC Laser Upgrade Kit with PLH3D-6W-XF";"731";"Laser Modules";"6391.200000";"7989";"0";"1";
"884";"http://makersupplies.dk/img/p/5/3/8/7/5387.jpg";"MGN12 Rail -ST12";"884";"Sair Linear Guides";"115.000000";"143.75";"65";"1";
"1205";"http://makersupplies.dk/img/p/7/3/9/9/7399.jpg";"Race Green - ASA 1.75 - Devil Design";"536";"ASA - 1.75mm";"144.000000";"180";"7";"1";
"670";"http://makersupplies.dk/img/p/4/6/1/8/4618.jpg";"White - PETG 2.85 - Devil Design";"670";"PETG - 2.85mm";"124.000000";"155";"7";"1";
"1018";"http://makersupplies.dk/img/p/6/4/4/9/6449.jpg";"Wanhao Duplicator 6 - GR2";"1018";"Wanhao";"4728.000000";"5910";"0";"0";
"1354";"http://makersupplies.dk/img/p/7/7/8/7/7787.jpg";"Black - ABS 1.75 - Devil Design 2kg";"571";"ABS - 1.75mm";"220.000000";"275";"18";"1";
"333";"http://makersupplies.dk/img/p/8/1/9/0/8190.jpg";"4 Pack - Closed Loop Servo Driver and Motor Bundle";"333";"Closed Loop Stepper";"4568.000000";"5139";"2";"1";
"828";"http://makersupplies.dk/img/p/5/1/9/7/5197.jpg";"Silicone heatbed with External PID - 508x508mm  - 220V - Dual Zone 360+670W";"828";"Heatbed";"1118.400000";"1398";"0";"0";
"1282";"http://makersupplies.dk/img/p/7/5/1/8/7518.jpg";"PRIMACREATOR FEP FILM ROLL FOR 3D PRINTERS - 30 X 160 CM";"";"Accessories";"376.000000";"470";"8";"1";
"262";"http://makersupplies.dk/img/p/8/2/0/7/8207.jpg";"Power Supply - 12V 2A";"262";"Power Supplies";"79.000000";"98.75";"88";"1";
"739";"http://makersupplies.dk/img/p/4/8/7/1/4871.jpg";"EleksLaser PLH3D Holder";"739";"Laser Modules";"391.200000";"489";"1";"1";
"1087";"http://makersupplies.dk/img/p/6/6/5/2/6652.jpg";"WhamBam Resin Flexible Build System 196x126";"1087";"WhamBam for Resin";"320.000000";"400";"3";"1";
"552";"http://makersupplies.dk/img/p/4/0/6/3/4063.jpg";"Orange  - ABS 1.75 - Devil Design";"552";"ABS - 1.75mm";"124.000000";"155";"3";"1";
"492";"http://makersupplies.dk/img/p/3/9/5/0/3950.jpg";"Pink - PLA 1.75 - Devil Design ";"492";"PLA - 1.75mm";"124.000000";"155";"8";"1";
"838";"http://makersupplies.dk/img/p/5/2/2/0/5220.jpg";"Light Wood - PLA 1.75";"838";"Speciality Filaments";"259.200000";"324";"8";"1";
"1291";"http://makersupplies.dk/img/p/8/1/2/9/8129.jpg";"GT2 pulley 32 - 5mm bore";"76";"GT2 Belts and Pulleys";"60.000000";"75";"50";"1";
"272";"http://makersupplies.dk/img/p/2/3/2/0/2320.jpg";"Medium+ (upgradable) 4 Axis PoKeys Bundle - 1.2Nm/2.2Nm";"272";" Bundles - Controller, Steppers and Driver";"4460.200000";"5240.74";"0";"1";
"747";"http://makersupplies.dk/img/p/4/8/8/9/4889.jpg";"AMB (Kress) 1050 FME-U DI - ER16";"747";"Spindles";"4514.990000";"5643.74";"0";"1";
"1095";"http://makersupplies.dk/img/p/6/6/8/9/6689.jpg";"PLH3D-CNC Adapter to Laser Head Cable (7m/22 ft)";"1095";"Laser Modules";"95.000000";"118.75";"2";"1";
"189";"http://makersupplies.dk/img/p/8/6/1/861.jpg";"Voltage Step Down Module";"189";"Power Supplies";"25.200000";"31.5";"50";"1";
"560";"http://makersupplies.dk/img/p/4/0/7/9/4079.jpg";"Blue - ABS 1.75 - Devil Design";"560";"ABS - 1.75mm";"124.000000";"155";"3";"1";
"1035";"http://makersupplies.dk/img/p/6/4/9/8/6498.jpg";"GT3 pulley 24 - 15mm belt - 14mm bore";"1035";"GT3 Belts and Pulleys";"79.000000";"98.75";"3";"1";
"501";"http://makersupplies.dk/img/p/3/9/4/8/3948.jpg";"Bright Yellow - PLA 1.75 - Devil Design";"501";"PLA - 1.75mm";"124.000000";"155";"9";"1";
"846";"http://makersupplies.dk/img/p/5/2/4/5/5245.jpg";"Acrylic Panel Kit for V-Baby CoreXY 3D Printer";"846";"3D Printer Kits";"439.200000";"549";"9";"1";
"1300";"http://makersupplies.dk/img/p/7/5/8/4/7584.jpg";"Custom Cut FEP Film for Resin Printers";"";"Accessories";"0.240000";"0.3";"4400";"1";
"282";"http://makersupplies.dk/img/p/2/3/5/4/2354.jpg";"C-Beam® Gantry Plate - Double Wide";"282";"C-Beam Plates";"104.000000";"130";"81";"1";
"757";"http://makersupplies.dk/img/p/6/3/9/4/6394.jpg";"BCN3D Epsilon W27";"757";"BCN3D";"37880.000000";"47350";"0";"1";
"1104";"http://makersupplies.dk/img/p/6/7/0/7/6707.jpg";"80x80 T10 - Slot Profile";"1104";"T10-Slot ";"134.000000";"167.5";"85";"1";
"197";"http://makersupplies.dk/img/p/8/8/3/883.jpg";"PoKeys 8 Stepper Motor Board - PoExtBusOC16CNC";"197";"Shields & Break out Boards";"108.000000";"135";"3";"1";
"568";"http://makersupplies.dk/img/p/4/0/9/5/4095.jpg";"Aluminum - ABS 1.75 - Devil Design";"568";"ABS - 1.75mm";"124.000000";"155";"8";"1";
"1043";"http://makersupplies.dk/img/p/6/5/2/5/6525.jpg";"Black Flexible Tube (25cm units)";"1043";"Cable Management";"5.000000";"6.25";"88";"1";
"1385";"http://makersupplies.dk/img/p/8/0/1/6/8016.jpg";"PRIMACREATOR VALUE WATER WASHABLE UV RESIN - 500 ML - BLACK";"";"Water Washable Resin";"232.000000";"290";"2";"1";
"509";"http://makersupplies.dk/img/p/3/9/7/5/3975.jpg";"Gold - PLA 1.75 - Devil Design";"509";"PLA - 1.75mm";"124.000000";"155";"8";"1";
"855";"http://makersupplies.dk/img/p/5/2/8/7/5287.jpg";"WhamBam Flexible Build System - 320x310mm";"855";"WhamBam for Filament";"695.200000";"869";"5";"1";
